id,device_id,event_ts,longitude,latitude,vehicles,motorcycles,pedestrians,traffic_condition,trucks
0,0x1000000000005,2023-12-01 01:00:00,-74.61885,6.8512864,50,8,219,low traffic,50
1,0x100000000001d,2023-12-01 01:01:00,-75.15949,6.280898,28,5,204,high congestion,29
2,0x1000000000008,2023-12-01 01:02:00,-75.302795,6.181027,31,10,261,average traffic,33
3,0x100000000001b,2023-12-01 01:03:00,-74.9059,7.0519767,10,5,294,low traffic,11
4,0x1000000000014,2023-12-01 01:04:00,-75.44188,6.906728,32,1,210,average traffic,34
5,0x100000000001c,2023-12-01 01:05:00,-74.96096,7.0076833,45,8,295,low traffic,45
6,0x1000000000005,2023-12-01 01:06:00,-75.30545,7.1436605,45,6,209,average traffic,47
7,0x100000000000b,2023-12-01 01:07:00,-75.06203,6.872108,32,4,227,average traffic,32
8,0x1000000000024,2023-12-01 01:08:00,-74.5348,6.5599294,12,4,271,low traffic,12
9,0x1000000000009,2023-12-01 01:09:00,-74.68726,6.558157,28,3,171,low traffic,28
10,0x1000000000025,2023-12-01 01:10:00,-74.875496,6.6953325,42,2,123,high congestion,44
11,0x1000000000001,2023-12-01 01:11:00,-74.79026,7.089829,39,5,203,low traffic,41
12,0x1000000000020,2023-12-01 01:12:00,-74.61155,6.770167,23,6,235,high congestion,23
13,0x1000000000017,2023-12-01 01:13:00,-74.535835,7.046749,12,7,258,average traffic,12
14,0x1000000000022,2023-12-01 01:14:00,-75.0816,7.0736065,17,6,164,clear,19
15,0x1000000000004,2023-12-01 01:15:00,-74.52991,6.1551847,20,4,210,low traffic,20
16,0x100000000001e,2023-12-01 01:16:00,-74.618,6.3068056,37,6,290,clear,37
17,0x1000000000012,2023-12-01 01:17:00,-75.00859,7.0642614,28,2,101,low traffic,28
18,0x100000000001e,2023-12-01 01:18:00,-75.20803,6.3709626,30,4,157,average traffic,31
19,0x1000000000004,2023-12-01 01:19:00,-75.02414,6.167321,17,9,272,low traffic,18
20,0x100000000000f,2023-12-01 01:20:00,-74.82851,6.2748737,40,7,281,low traffic,40
21,0x1000000000027,2023-12-01 01:21:00,-74.99911,6.666561,19,4,107,low traffic,21
22,0x1000000000009,2023-12-01 01:22:00,-75.00414,6.4826183,37,5,118,low traffic,37
23,0x100000000000c,2023-12-01 01:23:00,-74.87222,6.458783,35,5,207,low traffic,37
24,0x1000000000026,2023-12-01 01:24:00,-75.340546,6.305775,43,1,128,clear,45
25,0x1000000000024,2023-12-01 01:25:00,-74.904724,6.7379465,36,8,294,low traffic,36
26,0x1000000000000,2023-12-01 01:26:00,-75.46511,6.4013577,36,6,227,low traffic,37
27,0x100000000000a,2023-12-01 01:27:00,-75.09336,6.2205477,32,3,275,average traffic,34
28,0x1000000000018,2023-12-01 01:28:00,-74.6505,7.0272617,38,1,200,low traffic,39
29,0x1000000000000,2023-12-01 01:29:00,-75.2931,7.1254673,41,6,145,low traffic,42
30,0x1000000000008,2023-12-01 01:30:00,-75.43406,6.6846757,31,8,237,average traffic,32
31,0x100000000001c,2023-12-01 01:31:00,-74.82685,6.7566433,34,6,283,clear,34
32,0x1000000000019,2023-12-01 01:32:00,-75.31716,6.9058557,29,3,282,average traffic,30
33,0x1000000000018,2023-12-01 01:33:00,-75.3729,6.5733724,12,5,194,low traffic,14
34,0x100000000000c,2023-12-01 01:34:00,-75.11955,6.875239,23,9,255,low traffic,25
35,0x1000000000002,2023-12-01 01:35:00,-75.341835,6.449098,46,3,179,clear,47
36,0x1000000000019,2023-12-01 01:36:00,-74.91346,6.419049,12,7,274,clear,13
37,0x100000000001d,2023-12-01 01:37:00,-75.04318,7.0981607,28,6,252,clear,30
38,0x1000000000006,2023-12-01 01:38:00,-74.70112,6.7800417,41,1,140,average traffic,43
39,0x100000000001f,2023-12-01 01:39:00,-74.6423,6.6632695,12,5,241,high congestion,12
40,0x1000000000019,2023-12-01 01:40:00,-75.19416,6.858429,34,7,248,clear,36
41,0x1000000000017,2023-12-01 01:41:00,-75.08446,6.264984,23,5,115,high congestion,24
42,0x1000000000008,2023-12-01 01:42:00,-75.23728,6.994928,12,9,220,clear,14
43,0x1000000000019,2023-12-01 01:43:00,-75.26826,6.343621,24,6,174,clear,24
44,0x100000000000e,2023-12-01 01:44:00,-74.67724,6.546224,14,1,286,average traffic,15
45,0x1000000000023,2023-12-01 01:45:00,-74.86318,6.9138618,33,5,218,average traffic,33
46,0x100000000000e,2023-12-01 01:46:00,-74.899796,7.100232,33,1,206,average traffic,34
47,0x1000000000023,2023-12-01 01:47:00,-75.263626,6.4332232,22,1,293,average traffic,23
48,0x1000000000008,2023-12-01 01:48:00,-75.14441,6.536192,25,5,210,low traffic,27
